1983,04,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1983,05,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,2.0,.0,.0,.0,57.8,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1983,06,.0,.0,4.8,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,44.4,31.2,5.4,4.4,.0,2.4,.4,.0,.0,4.8,.6,3.2,2.0,39.2,61.4,46.2,1.2
1983,07,2.4,.0,1.0,.0,.0,.0,.0,.0,.0,.0,.6,.0,2.8,.0,.0,.0,.4,3.6,2.2,7.4,12.2,11.4,5.4,3.8,4.6,2.4,2.4,1.2,.0,1.6,.0
1983,08,.0,.8,1.2,.0,.0,.0,.0,1.2,6.4,1.2,13.2,14.0,8.2,7.6,7.4,20.0,.0,2.2,.6,.0,.0,.0,7.6,.0,5.8,11.2,.0,.0,2.2,.0,.0
1983,09,.0,.0,7.8,.0,.0,.0,.0,.0,.0,.0,2.2,.6,87.4,.4,4.4,2.4,8.6,3.2,6.0,2.4,.0,.0,.0,.0,11.4,3.2,.0,.0,.0,.0
1983,10,.0,.0,.0,14.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,4.6,.0,.0,27.2,.0
1983,11,.0,.0,.0,.0,5.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1983,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,6.2,.4,.0,.0,.0,.0
1984,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1984,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,18.6,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1984,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1984,04,.0,.0,.0,.0,4.4,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,4.8,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1984,05,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,2.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1984,06,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,3.4,.0,3.6,2.6,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,7.2,.2
1984,07,15.0,32.0,.1,2.2,3.2,1.0,.0,.0,.0,.0,.0,.0,.0,.0,16.0,6.0,10.8,13.4,23.8,2.4,.8,.0,4.8,.0,.0,.0,.0,1.0,.0,.6,.0
1984,08,9.8,7.2,2.2,1.0,.0,.0,1.4,.0,.0,.0,.0,5.0,7.6,2.0,1.2,.0,2.8,.0,.8,7.0,3.6,.0,.0,.0,.0,1.2,.4,.0,.0,.0,.0
1984,09,3.4,2.6,3.2,.0,.0,.0,.0,.0,.0,.0,9.2,26.4,.6,.0,.0,.0,.0,.0,.0,.0,.0,2.6,.0,1.8,.0,10.8,.0,25.6,.0,.0
1984,10,.0,.0,.0,.0,.0,8.4,9.8,4.8,32.2,24.2,2.0,14.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,5.4,10.2,.0,.0,.0,.0,.0,.0,.0
1984,11,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1984,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1985,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1985,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1985,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1985,04,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1985,05,.0,.0,.0,.0,.0,.0,.0,.0,6.8,6.0,3.6,.0,.0,.0,.0,.0,.0,.0,2.3,.0,.0,.0,.0,.0,.0,.0,.0,63.0,.0,.0,.0
1985,06,.0,.0,.0,.0,.0,.0,.0,.0,.0,2.3,8.0,7.0,.0,.0,.0,.0,15.0,30.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,25.0,1.0,.0
1985,07,.0,.0,.0,6.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.0,4.4,13.3,10.0,2.0,3.1,1.0,49.0,2.1,.0,1.0,6.0,.0,1.0,1.0,26.0
1985,08,9.0,4.0,2.0,2.0,.0,1.0,3.2,2.1,12.0,5.0,1.1,2.1,4.4,3.1,1.0,1.0,.0,.0,.0,7.0,.0,.0,.0,2.0,1.0,.0,4.0,.8,.0,.0,.0
1985,09,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,5.0,2.0,5.3
1985,10,4.0,.0,35.0,3.0,26.0,13.0,8.0,1.2,5.0,2.0,.0,.0,.0,.0,.0,.0,.0,.0,8.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1985,11,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1985,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1986,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1986,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1986,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1986,04,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1986,05,.0,6.2,.0,4.4,.0,.0,.0,.0,.0,.0,.0,.0,.0,71.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,18.2,.0
1986,06,4.8,46.0,.0,.2,.0,5.2,.0,.0,2.2,.0,.0,.0,1.2,7.8,.0,25.0,22.0,7.0,.0,1.6,.0,11.8,4.0,.0,3.0,5.0,4.4,3.2,.8,3.2
1986,07,2.2,.0,.0,.0,.0,.0,.0,2.6,.6,.0,.0,.0,.0,.0,.0,3.0,.0,2.6,3.8,2.6,2.6,4.8,5.0,.0,.0,.0,.0,.0,.0,.0,.0
1986,08,.0,.0,.0,.0,3.0,.0,10.4,29.0,17.0,9.6,10.6,1.0,16.0,1.0,.8,.6,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1986,09,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,10.4,9.0,37.0,38.0,3.0,7.0,3.0,.0,30.6,.0,1.0,7.0,.0
1986,10,.0,.0,8.0,22.0,13.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,17.0
1986,11,.0,4.0,2.0,.0,.0,.0,6.0,12.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1986,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,16.0,.0,.0,.0,.0
1987,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1987,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1987,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1987,04,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,25.0,2.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1987,05,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,8.0,.0,19.4,.0,.0,11.4,.0,.0,.0,.0,12.0,.0,.0,.0,.0,.0
1987,06,.0,8.0,.0,.0,.0,.0,.0,.0,.0,.0,16.0,.0,.0,.0,.0,.0,10.8,.0,.0,.0,.0,.0,14.0,.0,25.0,19.2,13.3,.0,.0,.0
1987,07,1.2,28.0,12.0,7.4,.0,7.0,11.4,14.0,1.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,3.4,.0,.0,.0,.0,.0
1987,08,.0,.0,.0,.0,6.2,.0,3.6,.0,.0,.0,.0,.0,2.4,.0,.0,2.4,68.4,1.2,4.0,2.6,1.0,2.0,2.4,2.4,7.2,3.0,.0,.0,.0,.0,.0
1987,09,.0,.0,.0,2.3,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,19.2,.0,.0,1.8,.0,.0,.0,.0,6.8,.0,.0,13.8,3.6
1987,10,6.0,8.6,20.0,.0,.0,.0,19.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,6.2,1.2,.0,.0,.0,16.4,.0,24.6,.0,.0,.0,.0,.0,.0,.0
1987,11,.0,.0,.0,.0,8.6,.0,.0,.0,.0,.0,.0,.0,.0,.0,5.4,13.2,5.2,.0,.0,.0,1.2,.0,.0,.0,.0,.0,.0,.0,.0,.0
1987,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,63.4,14.6,6.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1988,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1988,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1988,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1988,04,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,8.5,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1988,05,15.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,43.8,.0,.0,.0,.0,.0,.0,.0
1988,06,.0,.0,.0,.0,.0,.0,1.2,1.0,.0,.0,.0,.0,7.6,.0,1.2,1.0,.0,.0,.0,.0,.0,.0,.0,3.6,5.2,1.6,8.8,1.0,.0,.0
1988,07,.0,.0,.0,.0,.0,2.6,1.0,.0,.0,.0,.0,.0,.0,11.2,5.6,10.4,14.4,13.2,9.4,10.4,3.8,4.2,5.2,9.4,.0,6.6,3.4,1.8,4.8,8.4,1.2
1988,08,1.0,7.2,76.4,5.2,8.6,2.2,15.6,1.2,1.0,1.1,1.8,1.4,.0,.0,.0,2.2,10.2,2.4,.0,2.6,.0,.0,8.2,.0,.0,.0,.0,.0,6.4,.0,1.6
1988,09,10.4,9.2,1.6,.0,1.2,4.4,.0,.0,3.8,.0,12.8,15.6,.0,1.8,.0,.0,.0,2.6,7.4,.0,2.6,4.2,3.6,2.4,.0,13.8,.0,.0,.0,.0
1988,10,.0,17.4,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1988,11,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1988,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,19.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1989,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1989,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1989,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,10.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,4.2,.0,.0,.0,.0,.0,.0
1989,04,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,3.2,20.4,11.2,.0,.0,.0,.0,.0,.0,.0,.0
1989,05,.0,.0,.0,.0,.0,.0,3.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1989,06,12.3,3.2,25.6,.0,2.2,3.6,.0,5.2,.0,.0,.0,2.4,.0,6.2,.0,.0,.0,1.2,.0,.0,.0,5.4,.0,.0,.0,.0,.0,.0,9.4,3.2
1989,07,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.2,.0,6.8,32.6,.0,.0,4.2,7.6,37.2,40.4,10.6,1.8,2.8,.0,.0,.0,.0
1989,08,.0,.0,1.2,.0,1.3,2.2,.0,.0,.0,.0,.0,.0,.0,2.6,.0,1.8,.0,.0,5.6,2.4,1.4,.0,2.8,1.2,.0,.0,.0,.0,.0,.0,.0
1989,09,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,14.8,67.2,.0,.0,.0,.0,2.2,.0,.0,7.4,.0,.0
1989,10,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1989,11,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1989,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1990,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1990,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1990,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1990,04,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1990,05,1.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,10.8,.0,.0,.0,.0,.0,.0,.0,58.2,.0,.0,.0,.0,.0,60.2,.0,.0,4.2,.0,.0,5.4
1990,06,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,4.6,.0,4.4,.0,2.2
1990,07,.0,2.6,.0,11.2,3.4,.0,.0,3.2,.0,.0,.0,.0,.0,.0,.0,6.4,10.8,7.6,.0,.0,2.6,.0,1.3,5.4,13.4,.0,.0,.0,.0,.0,.0
1990,08,.0,.0,.0,.0,.0,.0,.0,.0,2.6,5.4,21.4,.0,.0,12.6,2.8,5.6,20.9,7.2,.0,1.2,1.4,.0,.0,2.8,1.2,6.4,.0,.0,.0,.0,.0
1990,09,.0,.0,.0,.0,1.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1990,10,.0,.0,.0,.0,.0,.0,.0,13.6,80.6,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,8.6,18.2,.0,.0,.0,.0
1990,11,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,5.8,26.8,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1990,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1991,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1991,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1991,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1991,04,.0,1.2,.0,.0,4.4,9.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,16.4,.0,.0,.0,.0,.0,.0,6.4,.0,.0,.0,.0
1991,05,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,30.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,14.2,.0,.0,.0,28.4,.0,11.6,3.8,.0
1991,06,.0,2.4,30.6,15.2,8.2,33.4,34.6,26.4,66.4,20.4,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,27.6,18.6,.0
1991,07,.0,.0,.0,.0,.0,.0,.0,.0,25.4,.0,.0,.0,.0,15.4,10.2,5.4,16.8,10.2,6.4,.0,.0,.0,.0,.0,.0,10.6,88.8,13.2,.0,.0,.0
1991,08,5.2,8.6,10.4,.0,.0,5.4,.0,3.8,1.8,1.2,3.4,.0,.0,33.6,28.2,5.4,.0,.0,2.4,6.2,8.4,.0,2.6,2.2,2.4,.0,6.2,.0,.0,.0,.0
1991,09,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,2.4,.0,12.4,.0,13.8,.0,.0,.0,.0,.0,.0,.0,.0,.0,6.4,.0,.0,.0
1991,10,.0,40.2,3.6,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1991,11,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1991,12,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1992,01,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1992,02,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1992,03,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1992,04,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
1992,05,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,12.0,.0,37.4,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,4.4,.0
1992,06,.0,20.6,.0,.0,.0,.0,.0,20.6,.0,.0,.0,.0,2.6,12.4,.0,.0,.0,.0,.0,.0,17.2,.0,.0,.0,.0,.0,.0,.0,.0,.0
